"","reg","deaths","date","year","weekno"
"410","Wales",562,2010-10-15,2010,42
"411","North East",506,2010-10-22,2010,43
"412","North West",1206,2010-10-22,2010,43
"413","Yorkshire and The Humber",1002,2010-10-22,2010,43
"414","East Midlands",744,2010-10-22,2010,43
"415","West Midlands",936,2010-10-22,2010,43
"416","East",990,2010-10-22,2010,43
"417","London",894,2010-10-22,2010,43
"418","South East",1450,2010-10-22,2010,43
"419","South West",942,2010-10-22,2010,43
"420","Wales",599,2010-10-22,2010,43
"421","North East",519,2010-10-29,2010,44
"422","North West",1342,2010-10-29,2010,44
"423","Yorkshire and The Humber",917,2010-10-29,2010,44
"424","East Midlands",766,2010-10-29,2010,44
"425","West Midlands",892,2010-10-29,2010,44
"426","East",1012,2010-10-29,2010,44
"427","London",944,2010-10-29,2010,44
"428","South East",1363,2010-10-29,2010,44
"429","South West",968,2010-10-29,2010,44
"430","Wales",531,2010-10-29,2010,44
"431","North East",491,2010-11-05,2010,45
"432","North West",1370,2010-11-05,2010,45
"433","Yorkshire and The Humber",923,2010-11-05,2010,45
"434","East Midlands",835,2010-11-05,2010,45
"435","West Midlands",943,2010-11-05,2010,45
"436","East",1043,2010-11-05,2010,45
"437","London",961,2010-11-05,2010,45
"438","South East",1517,2010-11-05,2010,45
"439","South West",992,2010-11-05,2010,45
"440","Wales",572,2010-11-05,2010,45
"441","North East",514,2010-11-12,2010,46
"442","North West",1319,2010-11-12,2010,46
"443","Yorkshire and The Humber",916,2010-11-12,2010,46
"444","East Midlands",790,2010-11-12,2010,46
"445","West Midlands",956,2010-11-12,2010,46
"446","East",1031,2010-11-12,2010,46
"447","London",900,2010-11-12,2010,46
"448","South East",1430,2010-11-12,2010,46
"449","South West",963,2010-11-12,2010,46
"450","Wales",564,2010-11-12,2010,46
"451","North East",498,2010-11-19,2010,47
"452","North West",1306,2010-11-19,2010,47
"453","Yorkshire and The Humber",940,2010-11-19,2010,47
"454","East Midlands",807,2010-11-19,2010,47
"455","West Midlands",972,2010-11-19,2010,47
"456","East",942,2010-11-19,2010,47
"457","London",889,2010-11-19,2010,47
"458","South East",1452,2010-11-19,2010,47
