"","week","deaths","age","year","weekno","reg"
"219",2020-03-13,11017,"Total",2020,11,"England & Wales"
"220",2012-04-13,9992,"Total",2012,15,"England & Wales"
"221",2018-04-13,12301,"Total",2018,15,"England & Wales"
"222",2011-05-13,10140,"Total",2011,19,"England & Wales"
"223",2016-05-13,10633,"Total",2016,20,"England & Wales"
"224",2014-06-13,9410,"Total",2014,24,"England & Wales"
"225",2012-07-13,8753,"Total",2012,28,"England & Wales"
"226",2018-07-13,9293,"Total",2018,28,"England & Wales"
"227",2010-08-13,8317,"Total",2010,33,"England & Wales"
"228",2013-09-13,8347,"Total",2013,37,"England & Wales"
"229",2019-09-13,9513,"Total",2019,37,"England & Wales"
"230",2017-10-13,9939,"Total",2017,41,"England & Wales"
"231",2015-11-13,9935,"Total",2015,46,"England & Wales"
"232",2013-12-13,10033,"Total",2013,50,"England & Wales"
"233",2019-12-13,11188,"Total",2019,50,"England & Wales"
"234",2011-01-14,13127,"Total",2011,2,"England & Wales"
"235",2014-02-14,10186,"Total",2014,7,"England & Wales"
"236",2020-02-14,10948,"Total",2020,7,"England & Wales"
"237",2014-03-14,9998,"Total",2014,11,"England & Wales"
"238",2017-04-14,8491,"Total",2017,15,"England & Wales"
"239",2010-05-14,9483,"Total",2010,20,"England & Wales"
"240",2013-06-14,8868,"Total",2013,24,"England & Wales"
"241",2019-06-14,9445,"Total",2019,24,"England & Wales"
"242",2017-07-14,9375,"Total",2017,28,"England & Wales"
"243",2015-08-14,9146,"Total",2015,33,"England & Wales"
"244",2012-09-14,8640,"Total",2012,37,"England & Wales"
"245",2018-09-14,9191,"Total",2018,37,"England & Wales"
"246",2011-10-14,8704,"Total",2011,41,"England & Wales"
"247",2016-10-14,9717,"Total",2016,42,"England & Wales"
"248",2014-11-14,10029,"Total",2014,46,"England & Wales"
"249",2012-12-14,10386,"Total",2012,50,"England & Wales"
"250",2018-12-14,10550,"Total",2018,50,"England & Wales"
"251",2010-01-15,12539,"Total",2010,3,"England & Wales"
"252",2016-01-15,11497,"Total",2016,3,"England & Wales"
"253",2013-02-15,11028,"Total",2013,7,"England & Wales"
"254",2019-02-15,11824,"Total",2019,7,"England & Wales"
"255",2013-03-15,11180,"Total",2013,11,"England & Wales"
"256",2019-03-15,10567,"Total",2019,11,"England & Wales"
"257",2011-04-15,9326,"Total",2011,15,"England & Wales"
"258",2016-04-15,11414,"Total",2016,16,"England & Wales"
"259",2015-05-15,10290,"Total",2015,20,"England & Wales"
"260",2020-05-15,14573,"Total",2020,20,"England & Wales"
"261",2012-06-15,10170,"Total",2012,24,"England & Wales"
"262",2018-06-15,9343,"Total",2018,24,"England & Wales"
"263",2011-07-15,8461,"Total",2011,28,"England & Wales"
"264",2016-07-15,9387,"Total",2016,29,"England & Wales"
"265",2014-08-15,8790,"Total",2014,33,"England & Wales"
"266",2017-09-15,9453,"Total",2017,37,"England & Wales"
"267",2010-10-15,9218,"Total",2010,42,"England & Wales"
"268",2013-11-15,9583,"Total",2013,46,"England & Wales"
"269",2019-11-15,10650,"Total",2019,46,"England & Wales"
"270",2017-12-15,11217,"Total",2017,50,"England & Wales"
"271",2015-01-16,14866,"Total",2015,3,"England & Wales"
"272",2018-02-16,12246,"Total",2018,7,"England & Wales"
"273",2012-03-16,10041,"Total",2012,11,"England & Wales"
"274",2018-03-16,12788,"Total",2018,11,"England & Wales"
"275",2010-04-16,9881,"Total",2010,16,"England & Wales"
"276",2014-05-16,9512,"Total",2014,20,"England & Wales"
"277",2017-06-16,9363,"Total",2017,24,"England & Wales"
"278",2010-07-16,8539,"Total",2010,29,"England & Wales"
"279",2013-08-16,8230,"Total",2013,33,"England & Wales"
"280",2019-08-16,9093,"Total",2019,33,"England & Wales"
"281",2011-09-16,8612,"Total",2011,37,"England & Wales"
"282",2016-09-16,9123,"Total",2016,38,"England & Wales"
"283",2015-10-16,9508,"Total",2015,42,"England & Wales"
"284",2012-11-16,9900,"Total",2012,46,"England & Wales"
"285",2018-11-16,10193,"Total",2018,46,"England & Wales"
"286",2011-12-16,10347,"Total",2011,50,"England & Wales"
"287",2016-12-16,10528,"Total",2016,51,"England & Wales"
"288",2014-01-17,11061,"Total",2014,3,"England & Wales"
"289",2020-01-17,12990,"Total",2020,3,"England & Wales"
"290",2012-02-17,10532,"Total",2012,7,"England & Wales"
"291",2017-02-17,11644,"Total",2017,7,"England & Wales"
"292",2017-03-17,10697,"Total",2017,11,"England & Wales"
