"","age...1","sex...2","week","deaths","year","weekno","reg","age"
"224","85+","Female",2010-04-09,2277,2010,15,"England & Wales","85+"
"225","Total","Male",2010-04-16,4794,2010,16,"England & Wales","Total"
"226","Total","Female",2010-04-16,5087,2010,16,"England & Wales","Total"
"227","Under 1 year","Male",2010-04-16,38,2010,16,"England & Wales","Under 1 year"
"228","Under 1 year","Female",2010-04-16,25,2010,16,"England & Wales","Under 1 year"
"229","01-14","Male",2010-04-16,8,2010,16,"England & Wales","01-14"
"230","01-14","Female",2010-04-16,13,2010,16,"England & Wales","01-14"
"231","15-44","Male",2010-04-16,196,2010,16,"England & Wales","15-44"
"232","15-44","Female",2010-04-16,125,2010,16,"England & Wales","15-44"
"233","45-64","Male",2010-04-16,780,2010,16,"England & Wales","45-64"
"234","45-64","Female",2010-04-16,496,2010,16,"England & Wales","45-64"
"235","65-74","Male",2010-04-16,968,2010,16,"England & Wales","65-74"
"236","65-74","Female",2010-04-16,678,2010,16,"England & Wales","65-74"
"237","75-84","Male",2010-04-16,1611,2010,16,"England & Wales","75-84"
"238","75-84","Female",2010-04-16,1447,2010,16,"England & Wales","75-84"
"239","85+","Male",2010-04-16,1193,2010,16,"England & Wales","85+"
"240","85+","Female",2010-04-16,2303,2010,16,"England & Wales","85+"
"241","Total","Male",2010-04-23,4629,2010,17,"England & Wales","Total"
"242","Total","Female",2010-04-23,4819,2010,17,"England & Wales","Total"
"243","Under 1 year","Male",2010-04-23,35,2010,17,"England & Wales","Under 1 year"
"244","Under 1 year","Female",2010-04-23,31,2010,17,"England & Wales","Under 1 year"
"245","01-14","Male",2010-04-23,16,2010,17,"England & Wales","01-14"
"246","01-14","Female",2010-04-23,15,2010,17,"England & Wales","01-14"
"247","15-44","Male",2010-04-23,229,2010,17,"England & Wales","15-44"
"248","15-44","Female",2010-04-23,104,2010,17,"England & Wales","15-44"
"249","45-64","Male",2010-04-23,757,2010,17,"England & Wales","45-64"
"250","45-64","Female",2010-04-23,486,2010,17,"England & Wales","45-64"
"251","65-74","Male",2010-04-23,898,2010,17,"England & Wales","65-74"
"252","65-74","Female",2010-04-23,627,2010,17,"England & Wales","65-74"
"253","75-84","Male",2010-04-23,1494,2010,17,"England & Wales","75-84"
"254","75-84","Female",2010-04-23,1327,2010,17,"England & Wales","75-84"
"255","85+","Male",2010-04-23,1200,2010,17,"England & Wales","85+"
"256","85+","Female",2010-04-23,2229,2010,17,"England & Wales","85+"
"257","Total","Male",2010-04-30,4636,2010,18,"England & Wales","Total"
"258","Total","Female",2010-04-30,4866,2010,18,"England & Wales","Total"
"259","Under 1 year","Male",2010-04-30,33,2010,18,"England & Wales","Under 1 year"
"260","Under 1 year","Female",2010-04-30,26,2010,18,"England & Wales","Under 1 year"
"261","01-14","Male",2010-04-30,12,2010,18,"England & Wales","01-14"
"262","01-14","Female",2010-04-30,7,2010,18,"England & Wales","01-14"
"263","15-44","Male",2010-04-30,220,2010,18,"England & Wales","15-44"
"264","15-44","Female",2010-04-30,105,2010,18,"England & Wales","15-44"
"265","45-64","Male",2010-04-30,740,2010,18,"England & Wales","45-64"
"266","45-64","Female",2010-04-30,480,2010,18,"England & Wales","45-64"
"267","65-74","Male",2010-04-30,912,2010,18,"England & Wales","65-74"
"268","65-74","Female",2010-04-30,652,2010,18,"England & Wales","65-74"
"269","75-84","Male",2010-04-30,1523,2010,18,"England & Wales","75-84"
"270","75-84","Female",2010-04-30,1334,2010,18,"England & Wales","75-84"
"271","85+","Male",2010-04-30,1196,2010,18,"England & Wales","85+"
"272","85+","Female",2010-04-30,2262,2010,18,"England & Wales","85+"
"273","Total","Male",2010-05-07,4092,2010,19,"England & Wales","Total"
"274","Total","Female",2010-05-07,4247,2010,19,"England & Wales","Total"
"275","Under 1 year","Male",2010-05-07,32,2010,19,"England & Wales","Under 1 year"
"276","Under 1 year","Female",2010-05-07,27,2010,19,"England & Wales","Under 1 year"
"277","01-14","Male",2010-05-07,8,2010,19,"England & Wales","01-14"
"278","01-14","Female",2010-05-07,5,2010,19,"England & Wales","01-14"
"279","15-44","Male",2010-05-07,148,2010,19,"England & Wales","15-44"
"280","15-44","Female",2010-05-07,92,2010,19,"England & Wales","15-44"
"281","45-64","Male",2010-05-07,667,2010,19,"England & Wales","45-64"
"282","45-64","Female",2010-05-07,452,2010,19,"England & Wales","45-64"
"283","65-74","Male",2010-05-07,818,2010,19,"England & Wales","65-74"
"284","65-74","Female",2010-05-07,561,2010,19,"England & Wales","65-74"
"285","75-84","Male",2010-05-07,1327,2010,19,"England & Wales","75-84"
"286","75-84","Female",2010-05-07,1247,2010,19,"England & Wales","75-84"
"287","85+","Male",2010-05-07,1092,2010,19,"England & Wales","85+"
"288","85+","Female",2010-05-07,1863,2010,19,"England & Wales","85+"
"289","Total","Male",2010-05-14,4655,2010,20,"England & Wales","Total"
"290","Total","Female",2010-05-14,4828,2010,20,"England & Wales","Total"
"291","Under 1 year","Male",2010-05-14,33,2010,20,"England & Wales","Under 1 year"
"292","Under 1 year","Female",2010-05-14,37,2010,20,"England & Wales","Under 1 year"
"293","01-14","Male",2010-05-14,10,2010,20,"England & Wales","01-14"
"294","01-14","Female",2010-05-14,15,2010,20,"England & Wales","01-14"
"295","15-44","Male",2010-05-14,217,2010,20,"England & Wales","15-44"
"296","15-44","Female",2010-05-14,118,2010,20,"England & Wales","15-44"
"297","45-64","Male",2010-05-14,763,2010,20,"England & Wales","45-64"
"298","45-64","Female",2010-05-14,499,2010,20,"England & Wales","45-64"
"299","65-74","Male",2010-05-14,910,2010,20,"England & Wales","65-74"
"300","65-74","Female",2010-05-14,587,2010,20,"England & Wales","65-74"
"301","75-84","Male",2010-05-14,1511,2010,20,"England & Wales","75-84"
"302","75-84","Female",2010-05-14,1462,2010,20,"England & Wales","75-84"
"303","85+","Male",2010-05-14,1211,2010,20,"England & Wales","85+"
"304","85+","Female",2010-05-14,2110,2010,20,"England & Wales","85+"
"305","Total","Male",2010-05-21,4407,2010,21,"England & Wales","Total"
"306","Total","Female",2010-05-21,4782,2010,21,"England & Wales","Total"
"307","Under 1 year","Male",2010-05-21,35,2010,21,"England & Wales","Under 1 year"
"308","Under 1 year","Female",2010-05-21,36,2010,21,"England & Wales","Under 1 year"
"309","01-14","Male",2010-05-21,12,2010,21,"England & Wales","01-14"
"310","01-14","Female",2010-05-21,10,2010,21,"England & Wales","01-14"
"311","15-44","Male",2010-05-21,232,2010,21,"England & Wales","15-44"
"312","15-44","Female",2010-05-21,124,2010,21,"England & Wales","15-44"
"313","45-64","Male",2010-05-21,686,2010,21,"England & Wales","45-64"
"314","45-64","Female",2010-05-21,479,2010,21,"England & Wales","45-64"
"315","65-74","Male",2010-05-21,888,2010,21,"England & Wales","65-74"
"316","65-74","Female",2010-05-21,637,2010,21,"England & Wales","65-74"
"317","75-84","Male",2010-05-21,1375,2010,21,"England & Wales","75-84"
"318","75-84","Female",2010-05-21,1314,2010,21,"England & Wales","75-84"
"319","85+","Male",2010-05-21,1179,2010,21,"England & Wales","85+"
"320","85+","Female",2010-05-21,2182,2010,21,"England & Wales","85+"
"321","Total","Male",2010-05-28,4596,2010,22,"England & Wales","Total"
"322","Total","Female",2010-05-28,4852,2010,22,"England & Wales","Total"
"323","Under 1 year","Male",2010-05-28,43,2010,22,"England & Wales","Under 1 year"
"324","Under 1 year","Female",2010-05-28,35,2010,22,"England & Wales","Under 1 year"
"325","01-14","Male",2010-05-28,18,2010,22,"England & Wales","01-14"
"326","01-14","Female",2010-05-28,8,2010,22,"England & Wales","01-14"
"327","15-44","Male",2010-05-28,221,2010,22,"England & Wales","15-44"
"328","15-44","Female",2010-05-28,131,2010,22,"England & Wales","15-44"
"329","45-64","Male",2010-05-28,742,2010,22,"England & Wales","45-64"
"330","45-64","Female",2010-05-28,463,2010,22,"England & Wales","45-64"
"331","65-74","Male",2010-05-28,947,2010,22,"England & Wales","65-74"
"332","65-74","Female",2010-05-28,669,2010,22,"England & Wales","65-74"
"333","75-84","Male",2010-05-28,1480,2010,22,"England & Wales","75-84"
"334","75-84","Female",2010-05-28,1381,2010,22,"England & Wales","75-84"
"335","85+","Male",2010-05-28,1145,2010,22,"England & Wales","85+"
"336","85+","Female",2010-05-28,2165,2010,22,"England & Wales","85+"
"337","Total","Male",2010-06-04,3953,2010,23,"England & Wales","Total"
"338","Total","Female",2010-06-04,4223,2010,23,"England & Wales","Total"
"339","Under 1 year","Male",2010-06-04,30,2010,23,"England & Wales","Under 1 year"
"340","Under 1 year","Female",2010-06-04,19,2010,23,"England & Wales","Under 1 year"
"341","01-14","Male",2010-06-04,14,2010,23,"England & Wales","01-14"
"342","01-14","Female",2010-06-04,6,2010,23,"England & Wales","01-14"
"343","15-44","Male",2010-06-04,155,2010,23,"England & Wales","15-44"
"344","15-44","Female",2010-06-04,89,2010,23,"England & Wales","15-44"
"345","45-64","Male",2010-06-04,650,2010,23,"England & Wales","45-64"
"346","45-64","Female",2010-06-04,430,2010,23,"England & Wales","45-64"
"347","65-74","Male",2010-06-04,813,2010,23,"England & Wales","65-74"
"348","65-74","Female",2010-06-04,558,2010,23,"England & Wales","65-74"
"349","75-84","Male",2010-06-04,1209,2010,23,"England & Wales","75-84"
"350","75-84","Female",2010-06-04,1207,2010,23,"England & Wales","75-84"
"351","85+","Male",2010-06-04,1082,2010,23,"England & Wales","85+"
"352","85+","Female",2010-06-04,1914,2010,23,"England & Wales","85+"
"353","Total","Male",2010-06-11,4528,2010,24,"England & Wales","Total"
"354","Total","Female",2010-06-11,4731,2010,24,"England & Wales","Total"
"355","Under 1 year","Male",2010-06-11,30,2010,24,"England & Wales","Under 1 year"
"356","Under 1 year","Female",2010-06-11,16,2010,24,"England & Wales","Under 1 year"
"357","01-14","Male",2010-06-11,5,2010,24,"England & Wales","01-14"
"358","01-14","Female",2010-06-11,9,2010,24,"England & Wales","01-14"
"359","15-44","Male",2010-06-11,197,2010,24,"England & Wales","15-44"
"360","15-44","Female",2010-06-11,106,2010,24,"England & Wales","15-44"
"361","45-64","Male",2010-06-11,780,2010,24,"England & Wales","45-64"
"362","45-64","Female",2010-06-11,512,2010,24,"England & Wales","45-64"
"363","65-74","Male",2010-06-11,870,2010,24,"England & Wales","65-74"
"364","65-74","Female",2010-06-11,657,2010,24,"England & Wales","65-74"
"365","75-84","Male",2010-06-11,1424,2010,24,"England & Wales","75-84"
"366","75-84","Female",2010-06-11,1303,2010,24,"England & Wales","75-84"
"367","85+","Male",2010-06-11,1222,2010,24,"England & Wales","85+"
"368","85+","Female",2010-06-11,2128,2010,24,"England & Wales","85+"
"369","Total","Male",2010-06-18,4255,2010,25,"England & Wales","Total"
"370","Total","Female",2010-06-18,4258,2010,25,"England & Wales","Total"
"371","Under 1 year","Male",2010-06-18,32,2010,25,"England & Wales","Under 1 year"
"372","Under 1 year","Female",2010-06-18,40,2010,25,"England & Wales","Under 1 year"
"373","01-14","Male",2010-06-18,10,2010,25,"England & Wales","01-14"
"374","01-14","Female",2010-06-18,8,2010,25,"England & Wales","01-14"
"375","15-44","Male",2010-06-18,189,2010,25,"England & Wales","15-44"
"376","15-44","Female",2010-06-18,102,2010,25,"England & Wales","15-44"
"377","45-64","Male",2010-06-18,716,2010,25,"England & Wales","45-64"
"378","45-64","Female",2010-06-18,466,2010,25,"England & Wales","45-64"
